text,cleaned_text,predicted
Kita tidak dapat mengejar mereka.,kejar,Negative
"Sebab itu kami (Pas) tawarkan dengan undi Pas, Islam selamat, Melayu selamat, Cina selamat, India pun selamat, semua untung dan dijamin kesejahteraannya",pas tawar undi pas selamat melayu selamat cina selamat selamat jamin sejahtera,Positive
"Mahathir yang membangunkan Langkawi, daripada sebuah kampung nelayan menjadi destinasi pelancongan terkenal di dunia.",mahathir bangun langkawi buah kampung nelayan destinasi lancong kenal,Positive
"Menjawab sindiran yang dilemparkan Lim kepada saya, saya ingin berkata 'Amithabha', saya gembira saya tidak mempunyai pensyarah seperti Lim.",sindir lempar lim amithabha gembira syarah lim,Negative
Kerajaan tidak ada duit,raja duit,Negative
Memang terdapat Bantuan Rakyat 1Malaysia (BR1M) tetapi ia hanyalah pemberian tunai,bantu brm,Negative
Kerajaan hari ini terus menggalakkan inisiatif dalam memperkasakan belia ke arah kepimpinan untuk memastikan masa depan yang lebih baik yang dapat memenuhi perkembangan ekonomi yang pesat serta masalah pencemaran alam sekitar,raja galak inisiatif perkasa belia arah pimpin penuh kembang pesat cemar,Negative
"Kerajaan beri bantuan tidak kira waktu, tidak perlu tunggu dekat PRU baru bagi.",raja bantu tunggu pru,Negative
"Kita menyasarkan CP Kejar mempunyai 500,000 keahlian di seluruh negara menjelang akhir tahun ini.",sasar cp kejar ahli jelang,Negative
"Kita harapkan senario lebih baik dan memihak kepada BN pada PRU14 nanti  memandangkan pada PRU13 kita menghadapi penolakan daripada kaum Cina hingga terpaksa akur dengan kekalahan calon Umno, Datuk Muhamad Sufian Awang.",harap senario pru pandang pru hadap tolak kaum cina paksa akur kalah calon muhamad sufi awang,Negative
Jadi inilah cara untuk maju ke hadapan dan kita tidak akan menoleh lagi,maju hadap toleh,Positive
"Saya lihat rumah PPR, mereka (penyewa) masuk (menduduki) kemudian terbiar...ini rumah sewa, depa (mereka) harap tuan tanah (pemilik projek PPR) baiki, tapi tuan tanah nak baiki macam mana jika sewa pun tak bayar",lihat ppr sewa masuk duduk biar sewa depa harap tuan milik ppr tuan sewa bayar,Negative
"Kita (kerajaan negeri) memerlukan bekalan air tambahan sehingga 310 juta liter sehari pada tahun 2020, namun sistem ini (ORS) mampu menampung sehingga 500 juta liter sehari.",raja bekal liter ors tampung liter,Positive
Kenapa fokus yang seorang ini sedangkan banyak lagi pembantu rumah tidak mahu balik? ,fokus bantu,Negative
"Untuk produk ini, kenaikan harga lebih daripada kenaikan gaji",gaji,Negative
Pemantauan terhadap peket asal memang tiada sebarang tanda campuran bahan kimia asing,pantau hadap peket tanda campur kimia,Negative
Ini hanya menunjukkan suasana terdesak.,suasana desak,Negative
"Sebab kalau ikutkan secara saintifik ramai pakar perubatan, Pertubuhan Bangsa-bangsa Bersatu dan hak asasi manusia menyatakan ‘corrective approach’ bukannya membantu, tapi akan mengakibatkan kemurungan dan lebih masalah kepada golongan LGBT",saintifik pakar ubat tubuh bangsa hak asasi manusia nyata corrective approach bantu akibat murung golong lgbt,Negative
meletakkan golongan wanita pada kedudukan paling istimewa,letak golong duduk istimewa,Positive
Peniaga seharusnya memberi 20 sen kepada pembeli yang membawa beg sendiri dari rumah dan bukannya caj itu hanya dikenakan kepada mereka yang tidak membawanya dan meminta beg plastik.,beli bawa beg caj bawa beg plastik,Negative
"Loji rawatan itu mesti dapat air mentah untuk dirawat, bukan dapat dari angin.",loji rawat mesti mentah rawat angin,Positive
Pas tidak lagi releven sebagai parti politik dan tidak ada arah.,pas releven arah,Negative
"Susulan Felda 2.0 bertujuan memberi wajah baharu kepada penempatan sedia ada, CIMB gembira untuk meningkatkan dan memberi sumbangan kepada inisiatif ini melalui pembangunan keusahawanan kami dan sokongan penanaman semula kepada Felda Lurah Bilut",susul felda tuju wajah sedia cimb gembira tingkat sumbang inisiatif bangun keusahawanan sokong tanam felda lurah bilut,Positive
Walaupun ‘janda’ banyak jugalah yang minat,janda,Positive
"Apa jadi dengan mereka yang membesar menonton drama tempatan, dan pelajaran yang mempromosikan pengasingan?",tonton drama ajar promosi,Positive
"Saya tidak pasti apa itu muta’ah, saya tidak tahu muta’ah, saya tidak tahu apa itu kahwin kontrak",muta muta kahwin,Positive
Kemudahan dan kemajuan teknologi digital seharusnya dimanfaatkan untuk kebaikan,maju digital manfaat,Positive
"Ini menunjukkan seolah-olah ia sesuatu yang bagus, tetapi satu statistik yang perlu dipadankan dengan pendapatan adalah perbelanjaan",olah bagus statistik padan belanja,Positive
Malaysia perlu memainkan peranan untuk menyampaikan kebenaran kepada masyarakat dunia tentang kezaliman dan kekejaman yang dilakukan Israel yang berterusan mahu menakluki wilayah Palestin,main peran zalim kejam laku israel takluk palestin,Negative
"Tahun ini, lebih 4,500 institusi telah dinilai dalam 48 subjek dan lima Bidang Subjek Luas, menjadikan Ranking Subjek QS 2018 sebagai yang paling komprehensif.",institusi subjek subjek luas ranking subjek qs komprehensif,Positive
"Dia sebut bahawa ‘kita mesti kembangkan kek, apabila anda berbuat demikian maka anda boleh berkongsi kek itu tanpa mengambil daripada sesiapapun’ . ",mesti kembang kek kongsi kek ambil,Negative
"Ini memang terkawal tidak naik harga, maka jika kata kos sara hidup naik sebab barangan, ini tidak betul",kawal sara hidup,Positive
"Sekiranya ada pelajar bercadang menyambung pengajian di luar negara seperti di Timur Tengah, ia akan memudahkan proses selanjutnya",sekira ajar cadang sambung aji,Positive
"jaminan bahawa proses pilihan raya yang kendalikan oleh badan berkenaan adalah bersih, telus dan bebas daripada sebarang penipuan dan penyelewengan.",jamin pilih kendali badan bersih telus bebas tipu seleweng,Negative
Tidak kurang juga yang menawarkan diri bertan­ding dengan harapan dapat ‘di­sunting’ oleh parti-parti politik lain sebelum tiba hari mengundi.,tawar tan ding harap di sunting parti-parti undi,Negative
"Kalau benar-benar mahu berpolitik, maka, inilah masanya",,Positive
"Buku-buku jarang dibaca kerana tahap pembacaan di Malaysia ini sangat kurang,",buku jarang baca rana baca,Positive
PBS juga akan bekerja keras untuk terus mempertahan kesemua 13 kerusi diperuntukkan kepada parti,pbs keras tahan kerusi,Negative
Aplikasi ini turut menyediakan analisa keputusan bagi membolehkan pemohon memadankan keputusan mereka dengan program yang bersesuaian,aplikasi sedia analisa putus mohon padan putus suai,Negative
Apa yang penting adalah sertai Pakatan Harapan dulu.,pakat harap,Negative
"Ini untuk memastikan industri kewangan mempunyai tenaga kerja yang kompeten dan profesional,",kompeten profesional,Positive
"Mesyuarat tersebut yang akan dianggotai oleh menteri, badan bukan kerajaan (NGO) dan pakar akademik akan membincangkan secara terperinci mengenai struktur majlis berkenaan,",badan raja ngo pakar akademik bincang perinci struktur,Positive
Ini juga kita telah dilakukan,laku,Negative
Persidangan akhbar itu adalah mengenai persiapan pilihan raya,pilih,Positive
Amaran awal telah dikeluarkan oleh BN jika mereka kalah tak akan ada parti yang akan menang,amar kalah menang,Negative
"Setiap kali tiba musim pilihan raya semakin ramai syaitan-syaitan yang keluar membuat fitnah, kata penyokong kuat Barisan Nasional",musim pilih syaitan-syaitan fitnah sokong kuat baris,Negative
lebih 160 negara di dunia melaksanakan cukai yang sama untuk memastikan asas cukai meluas yang mampu mengekang ketidaktentuan ekonomi global,laksana cukai cukai luas ekang ketidaktentuan,Negative
"Dan kalau ini kita biar tergantung, tak diselesaikan, kita yakin kalau kita ambil kerajaan sekali pun, kita akan memikul bebanan sama.",biar gantung selesai ambil raja pikul beban,Negative
"Negara muflis boleh bina Lebuhraya Pan Borneo bernilai RM18 bilion dari Sindumin, Sipitang hingga ke Tawau sepanjang 1,200 kilometer tanpa tol?",muflis bina lebuhraya pan borneo nila rm sindumin sipitang tawau kilometer tol,Negative
Pertumbuhan dalam pendapatan buruh mengurangkan kesan terhadap kumpulan isi rumah kategori M40 dan B40,tumbuh buruh kesan hadap kumpul isi kategori,Negative
Syukur semua dapat dilakukan (selesaikan masalah).,syukur laku selesai,Negative
SPR hanya perlu masa sehari untuk mendapat perkenan Yang di-Pertuan Pertuan Agong dan selepas itu draf tersebut menjadi rasmi dan boleh digunakan untuk PRU14,spr ken di-pertuan tuan agong draf rasmi pru,Negative
Sejumlah RM2 juta pula diperuntukkan bagi program pembangunan produk dan sumber manusia daripada enam komuniti setempat di sekitar kawasan ini,rm bangun manusia komuniti,Positive
Kita pun sudah anjurkan kursus asas pelancongan kepada belia-belia di sini.,anjur kursus lancong belia,Positive
"Bagi kita, kita memilih calon yang orang suka, bukan kita suka dan perkara ini saya sudah maklumkan kepada Presiden MCA dan MIC",pilih calon suka suka maklum mca mic,Positive
Orang Melayu yang tidak relevan tidak tahu dunia sebenar.,melayu relevan,Positive
Kerajaan Myanmar cuba mengalih fokus dunia kepada persetujuan penghantaran balik pelarian dari Bangladesh ke negara itu namun isu utama yang tidak mahu diberi perhatian ialah mengenai jenayah genosid serta pemusnahan perkampungan Rohingya secara berterusan berlaku sehingga kini,raja myanmar cuba alih fokus tuju hantar lari bangladesh perhati jenayah genosid musnah kampung rohingya laku,Negative
Bukan mengekang dengan kuasa.,ekang,Positive
"Ini termasuk peruntukan RM1.315 bilion untuk lima projek baharu bawah Rancangan Malaysia Ke-11 (RMK11) di Langkawi,",masuk rm rancang ke- rmk langkawi,Positive
Ia juga akan memainkan peranan penting dalam mengekalkan daya saing Malaysia dalam sektor penerbangan di peringkat global.,main peran daya saing,Negative
Isunya apa status jawatan ahli dan pimpinan Umno itu sah atau luput?,status jawat ahli pimpin sah luput,Negative
"Harga barang naik, duit ubat lagi, memang saya rasa susahlah sekarang",barang duit ubat susah,Negative
"Maknanya, iklim pelaburan Malaysia amat baik termasuklah dalam sektor tenaga",makna iklim masuk,Negative
Suhakam dilihat sebagai sebuah badan yang berintegriti dan mendapat kekuatannya daripada mandat yang diperuntukkan di dalam undang-undang bagi melindungi dan mempromosikan hak asasi manusia di Malaysia.,suhakam lihat buah badan berintegriti kuat mandat undang lindung promosi hak asasi manusia,Negative
"Salah satu faktor sekolah ditutup adalah kerana sistem pengurusan lemah dan kekurangan penajaan,",salah faktor sekolah tutup rana lemah taja,Negative
“Ini sangat memalukan dan menunjukkan kegagalan Jakoa mewakili sebahagian besar masyarakat Orang Asli.,malu gagal jakoa wakil asli,Negative
Apa yang berlaku pada hari ini adalah kejayaan kerajaan dalam soal perbankan Islam dan banyak lagi,laku jaya raja perban,Positive
Orang pertama yang sepatutnya disiasat kerana menyebarkan ‘berita palsu’ paling dahsyat dalam negara ini ialah perdana menteri yang mendakwa RM42 bilion hutang 1MDB tidak hilang,patut siasat rana sebar berita palsu dahsyat dakwa rm hutang mdb hilang,Negative
"Isunya ialah kerajaan perlu tunjuk semua aset tersebut, sama ada adakah ia bersamaan dengan hutang RM42 bilion itu",raja aset hutang rm,Negative
"Pada waktu saya belum umum keluar parti, mereka kata saya makan dedak Umno tapi sekarang saya masuk PAS.",makan dedak masuk pas,Negative
Bagaimana dengan dua wakil rakyat Umno-Barisan Nasional di Titiwangsa dan Setiawangsa?,wakil umno-barisan titiwangsa setiawangsa,Positive
"Kebanyakan yang berdaftar setakat ini berusia 45 tahun ke bawah dan kepada yang berminat, mereka boleh hubungi Pas Kubang Pasu dengan segera",daftar takat usia hubung pas kubang pasu,Positive
Hospital Langkawi buat masa ini hanya dapat menampung 110 katil pesakit manakala kadar penggunaan katil hampir  mencecah 90 peratus,hospital langkawi tampung katil sakit katil cecah atus,Negative
"Kajian itu harus meliputi analisis permintaan, yang merangkumi pola demografi yang berbeza sama ada mukim yang terdiri daripada tanggungan muda dan keluarga, penduduk yang bekerja atau pesara dan pendapatan",kaji liput analisis rangkum pola demografi berbeza mukim tanggung muda keluarga duduk pesara,Negative
"Ia akan melihat keperluan di Pusat Kastam, Imigresen, Kuarantin dan Keselamatan (ICQs) negeri ini yang perlu dinaik taraf bukan sahaja dari segi fizikal, malah prasarana teknologi",lihat kastam imigresen kuarantin selamat icqs taraf fizikal prasarana,Negative
"Memang ada kegagalan dalam syarikat ini, kelemahan tadbir urus",gagal lemah tadbir,Negative
CRCC juga memberi jaminan bahawa keunikan terowong Pulau Pinang dan tiga projek jalan tidak boleh digunakan untuk mengukur prestasi mereka,crcc jamin uni terowong pulau pinang ukur,Positive
"Foto itu, mula-mula muncul pada tahun 2014 dan kemudian lesap tetapi kini timbul semula, mungkin kerana pilihan raya umum akan datang",foto muncul lesap timbul rana pilih,Negative
Ini membuktikan kita buat (rampas dan dakwa) secara terperinci,bukti rampas dakwa perinci,Negative
Ancaman ini boleh berlaku di mana-mana dan bila-bila masa,ancam laku,Negative
Siasatan telah dijalankan dan tindakan sewajarnya akan diambil oleh pihak MADACorp setelah mengenal pasti punca sebenar berlakunya pertumbuhan padi angin tersebut,siasat tindak wajar ambil madacorp kenal punca laku tumbuh padi angin,Negative
"Apabila hadis palsu diberi tafsiran salah dan dicampur lawak jenaka, daya tarikannya jadi luar biasa, sekali gus merosakkan imej Islam dan memecah umat Islam",hadis palsu tafsir salah campur lawak jenaka daya tari gus merosakkan imej pecah umat,Negative
"Antara langkah kita selalu tekankan kepada kakitangan, ialah memadamkan sumber oksigen dan hentikan bekalan elektrik bagi mengelakkan risiko lebih teruk daripada berlaku",tekan kakitangan madam oksigen henti bekal elektrik elak risiko teruk laku,Negative
jangan pilih yang sekadar hendak menggunakan masjid sebagai platform atau batu loncatan untuk karier masing-masing.,pilih masjid platform batu loncat karier,Positive
"“Kita (Muslimat) tak ada masalah dengan baiah, kerana dapat kukuhkan Pas di Kelantan.",muslimat baiah rana pas lantan,Positive
"Sebelum ini, tidak ada parti yang pernah mendapatkan maklum balas daripada MBM dalam membentuk manifesto yang tidak lain tidak bukan bertujuan untuk memberi fokus kepada isu anak muda.",maklum balas mbm bentuk manifesto tuju fokus muda,Negative
"Kegiatan dan perlombongan telah memberi kesan kepada kehidupan penduduk, malah mereka hidup di dalam debu.",giat lombong kesan hidup duduk hidup debu,Negative
"Kalau nak dibandingkan dengan PRU yang lepas, kali ini jauh lebih bersedia untuk kita menghadapi PRU-14",banding pru sedia hadap pru-,Positive
Kami lihat Proton telah lari daripada tujuan asal yang membawa kepada penubuhan Proton dulu,lihat lari tuju bawa tubuh,Positive
Ada kementerian mempunyai dua menteri dan saya fikir ini membazir,fikir membazir,Negative
"Sebab, jika anda terlalu sensitif, anda tidak seharusnya menyertai politik",sensitif,Positive
Usaha kerajaan mendorong lebih banyak pelaburan swasta dalam meletak atur fiber baru-baru ini adalah bagi  mencapai matlamat negara untuk meningkatkan kelajuan jalur lebar dan menurunkan harga,raja dorong swasta letak atur fiber capai matlamat tingkat laju jalur lebar,Negative
Kita bagi 3 bulan kepada jawatankuasa.,,Positive
"Kami menjual syarikat pajakan kami pagi ini dan wang yang diterima akan meningkatkan ringgit, jadi ia akan mencerminkan dengan lebih baik lagi kekuatan sebenar dan daya tahan ekonomi Malaysia",jual paja terima tingkat cermin kuat daya tahan,Negative
"Hari ini mereka mula terasa bahang tersebut, Pas mula ditolak kerana rakyat telah ada alternatif baharu. ",asa bahang pas tolak rana alternatif,Negative
Saya ingin mengambil kesempatan ini untuk mengucapkan terima kasih kepada Kerajaan Diraja Kemboja untuk pekerja-pekerja ini,ambil terima kasih raja diraja kemboja,Positive
"Kalau dahulu, jarang sekali seorang ayah bawa anak-anak mengerjakan umrah, sebaliknya anak itu bawa ayah dan ibu selepas dia bekerja dan mampu.",jarang ayah bawa umrah bawa ayah,Negative
beliau menasihatkan semua calon supaya datang awal ke pusat penamaan calon masing-masing kerana kelewatan menghantar kertas pencalonan boleh menyebabkan kertas pencalonan ditolak dan tidak layak untuk bertanding dalam pilihan raya.,nasihat calon nama calon rana hantar kertas calon kertas calon tolak layak tanding pilih,Negative
"Mereka hanya tahu bercakap buruk tentang orang lain,",cakap buruk,Negative
"Oleh itu, pembangunan akan menyusul di Kampung Baru, cuma ia hadir dalam keadaan berfasa.",bangun susul kampung hadir berfasa,Positive
"Malah, siapa pun calon yang akan bertanding pada PRU-14 nanti, kita akan pastikan dia memperoleh kemenangan",calon tanding pru- menang,Negative
Ketiga pula adakah ia mempunyai unsur penganiayaan serta kezaliman dan jika benar maka adalah menjadi tugas RCI menyiasat siapa orang yang menjadi tokoh penting yang menyuruhnya,unsur aniaya zalim tugas rci siasat tokoh suruh,Negative
Kami akan mengetahui bilangan pembantu rumah yang tepat apabila dekat dengan tarikh tersebut.,bilang bantu tarikh,Negative
Kita kena bincang di peringkat parti masing-masing dulu dan serahkan kepada PH untuk membuat keputusan terbaik kerana saya berpendapat ada buruk baiknya bila guna satu logo. ,bincang serah putus rana buruk logo,Negative
Pembentukan kabinet diperuntukkan bawah perlembagaan dan tiada pengasingan (berdasarkan kaum) yang boleh dilaksanakan,bentuk kabinet lembaga kaum laksana,Positive
Saya tetap bersama ahli-ahli Pas  dan cuba memahamkan mereka agar terus memberi sokongan kepada Pakatan Harapan,ahli pas cuba paham sokong pakat harap,Negative
Pengusaha kereta sewa terima tempias bahang pilihan raya,sewa terima tempias bahang pilih,Positive
Kata macam-macam sebab tak ada alasan…nak tutup malu sebab itu reka kata kami tak dapat habuan padahal malu sebab gagal urus parti.,alas nak tutup malu reka habuan malu gagal,Negative
Sedangkan Datuk Mufti kita kenali merupakan seorang yang lembut dan baik,mufti kenal rupa lembut,Positive
Hanya mungkin ada orang buat apa-apa kita tak tahulah,,Positive
Ini membawa erti haram juga untuk sokong BN kerana MCA serta Gerakan yang anti hudud juga adalah rakan sekutu BN,bawa erti haram sokong rana mca gera anti hudud rak sekutu,Negative
Impak kepada isi rumah sangat luas berbanding  dengan berbelanja RM250 beli tiket wayang atau berbelanja di kedai untuk keperluan diri,impak isi luas banding belanja rm beli tiket wayang belanja kedai,Negative
"Bagaimanapun, peruntukkan itu amat diperlukan dan projek pembangunan bukan sahaja berlaku pada zaman Mahahtir, kerana Najib juga memainkan peranan menaikkan Langkawi",bangun laku zaman mahahtir rana main peran langkawi,Negative
MP paling miskin dalam sejarah di Malaysia kerana semua gaji dan elaunnya hanya untuk rakyat,miskin sejarah rana gaji elaunnya,Negative
"Oleh itu, mudah-mudahan bantuan yang dihulurkan kerajaan ini dapat mengurangkan bebanan dan kesusahan yang terpaksa ditanggung",bantu hulur raja beban susah paksa tanggung,Negative
"Buat permulaan KR1M 2.0 akan menawarkan empat barang keperluan asas dengan harga rendah iaitu gula, minyak masak, tepung dan beras",krm tawar barang gula masak tepung beras,Positive
Srikandi ingin menzahirkan rasa bangga dan terharu atas keberanian seorang anggota kami yang telah tampil menyerahkan bukti tawaran imbuhan terhadapnya daripada pihak tertentu,srikandi menzahirkan bangga haru berani tampil serah bukti tawar imbuh hadap,Positive
"Orang berkenaan tak riuh rendah, yang riuh rendah ialah ketua cawangan yang didakwa mendaftarkan diri borang Bersatu, jadi ahli Bersatu yang kononnya nak jadi juara",riuh riuh cawangan dakwa daftar borang ahli konon juara,Negative
Kami rasa mereka itu bukan dari jabatan hutan atau wakil kerajaan negeri.,jabat hutan wakil raja,Positive
"an dari 1986 hingga 1990, waktu itu, orang berkenaan itu menjadi perdana menteri. ",,Positive
"Jika tiada penyelesaian, saya bersama semua pengadu akan mengadakan demonstrasi aman di hadapan ibu pejabat ROS",selesai adu demonstrasi aman hadap jabat ros,Negative
"Jadi, boleh bawa keluar tetapi tidak dibenarkan untuk disiarkan dalam apa cara sekalipun",bawa siar,Positive
Kemudian kita tanya apa tujuan nak masuk tapi mereka tidak beritahu.,tuju masuk beritahu,Negative
Contoh paling terdekat ialah mengenai persempadanan.,contoh sempadan,Positive
Saya harap ada pembangunan dari segi rumah untuk anak-anak Felda di sini,harap bangun felda,Negative
"walaupun dengan kelebihan struktural seperti persempadanan semula yang memihak kepada BN, persaingan antara dua gabungan politik itu masih sengit dan terbuka.",struktural sempadan saing gabung sengit buka,Negative
Kerajaan patut malu dengan tindakan pelbagai negara yang bertindak ke atas dana diselewengkan itu,raja patut malu tindak tindak seleweng,Negative
"Tetapi kerana kita kuat, sekolah sekarang jauh lebih selesa malah di kebanyakan tempat bilangan sekolah lebih banyak menyebabkan kekurangan pelajar",rana kuat sekolah selesa bilang sekolah ajar,Positive
Kita tunggu nanti,tunggu,Positive
Saya sudah mengarahkan Ketua Pengarah Imigresen (Datuk Seri Mustafar Ali) untuk meletakkan anggota bagi melakukan imbasan secara rawak.,arah arah imigresen mustafar ali letak laku imbas rawak,Negative
"Dengan kehadiran ejen-ejen calon sebagai pihak ketiga, ia merupakan bukti bahawa SPR tidak menafikan hak pemerhati untuk turut serta dalam proses pilihan raya",hadir ejen-ejen calon rupa bukti spr nafi hak perhati pilih,Negative
"Ia sama seperti menghina mahkamah di mana satu laporan polis boleh dibuat,",hina lapor,Negative
Orang lain tidak mengiktiraf mereka,iktiraf,Negative
"Kita tidak pernah lupa pada guru-guru KAFA ini dan kalau duit dapat, tak akan kita hendak simpan",lupa guru kafa duit simpan,Positive
"Malah, latihan itu dijadikan sebagai satu penanda aras dalam menyemak dan mengemaskini prosedur operasi standard (SOP) jabatan dan agensi terbabit",latih tanda aras semak mengemaskini prosedur standard sop jabat agens babit,Negative
bertindak pantas untuk menafikan mesej yang tular di media sosial berhubung terkorbannya seorang ahli Parlimen susulan penemuan sejumlah wang ditemui dalam kenderaan tersebut.,tindak nafi mesej tular sosial hubung korban ahli susul temu temu kenderaan,Negative
Kami tidak menyentuh mana-mana bahagian kawasan ibadah dalam muzik video tersebut dan saya minta semua pihak yang berkaitan agar tidak salah faham disebabkan oleh laporan berita yang tidak tepat,sentuh ibadah muzik video kait salah faham lapor berita,Negative
"Dengan penambahan operator penerbangan, dapat memberi pilihan tambahan kepada rakyat untuk meneruskan aktiviti perhubungan perniagaan, urusan kerajaan, pendidikan dan pelancongan di Labuan",operator pilih hubung raja didik lancong labu,Positive
setiap kali bertemu mulalah bertengkar disebabkan hal-hal politik,temu tengkar,Negative
"Saya bimbang kalau perkara ini dilambatkan, ia jejaskan masa pembinaan ECRL seperti yang kita janjikan.",bimbang lambat jejas bina ecrl janji,Negative
Tindakan OKS ini seolah-olah tidak menghormati 2 pemimpin negara dan boleh memberi imej buruk kepada mereka,tindak oks olah hormat pimpin imej buruk,Negative
Jangan takut…saya datang sini hanya untuk berbual dengan orang Pekan,takut saya bual pekan,Negative
"Pada 19 Mac saya tanya soalan di Dewan Rakyat berkenaan status dana bantuan banjir seperti yang dijanjikan oleh Perdana Menteri, Datuk Seri Najib Tun Razak iaitu berjumlah RM500.",status bantu banjir janji razak rm,Negative
Bukan kita menghalang permintaan rakan-rakan dalam HARAPAN...Faktor calon juga diambil kira,halang rak harap faktor calon ambil,Negative
"Berdasarkan nisbah keseluruhan murid, ia masih terkawal dan segala tindakan yang dilakukan termasuk mewujudkan Pegawai Perhubungan Sekolah (PPS) hanyalah untuk memperbaiki keadaan",nisbah murid kawal tindak laku masuk wujud hubung sekolah pps,Negative
Objektif utama kempen ini adalah menyasarkan agar tahap kesedaran pemilih terhadap kepentingan mengundi meningkat dan mencapai sasaran 85 peratus pengundi akan keluar mengundi pada PRU14,objektif kempen sasar dar pilih hadap undi tingkat capai sasar atus undi undi pru,Negative
"Dalam hal ini, NUTP akan memberikan bantuan terbaik untuk guru ini",nutp bantu guru,Negative
Pendidikan sudah pasti akan menjadi (projek kegemaran) saya secara peribadi dan sebagai duta Turki di sini.,didik gemar peribadi duta turki,Positive
Sudah lama saya bangkitkan hal berkaitan 1MDB dan saya juga antara terawal bangkitkan isu ini dengan Abdul Ghani Patail dan Mohamed Apandi tetapi saya tidak maklumkan kepada dunia.,bangkit kait mdb bangkit ghani patail mohamed apandi maklum,Positive
"Ada yang disembunyikan, dan itu yang dipercayai",sembunyi percaya,Negative
Kebanyakannya berhubung melalui WeChat,hubung wechat,Positive
Saya baru saja mengetahui berita penarikan pingat pagi tadi dan ia satu kejutan buat kerajaan negeri,berita tari pingat kejut raja,Positive
"Kita jangka pelaksanaan projek bermula pada 2019 atau 2020, dan mengambil masa sehingga 2025 bagi melengkapkan ketiga-tiga fasa",jangka laksana ambil lengkap fasa,Negative
Cuma saya buat laporan polis agar pihak polis dapat siasat perkara ini dan mahu jaminan keselamatan kepada keluarga saya,lapor siasat jamin selamat keluarga,Negative
"Jadi, mahu tidak mahu, mereka terpaksa meneruskan kerja.",paksa,Negative
"Jika mood ini dikekalkan, kita berupaya menghadapi lawan dengan penuh tanggungjawab dan beroleh kemenangan cemerlang",mood upaya hadap lawan penuh tanggungjawab menang cemerlang,Negative
Semua tahu yang nak jual tanah dan aset negara ialah pimpinan sekarang bukannya Tun Mahathir,jual aset pimpin mahathir,Negative
(Dalam) Akar umbi tiada masalah.,akar umbi,Positive
Kita harap dapat berkongsi maklumat dengan polis dan agensi kerajaan lain bagi memudahkan kita melakukan pelbagai program pendidikan,harap kongsi agens raja laku didik,Negative
"Saya berjanji kepada diri saya, PDRM akan berada di barisan hadapan sekiranya ada yang menjual perlawanan terutamanya bookie yang campur tangan dan mengaut keuntungan bagi poket sendiri",janji pdrm baris hadap sekira jual lawan bookie campur tangan kaut poket,Negative
"Satu jawatankuasa pula sudah diwujudkan bagi mengadakan Konvensyen HARAPAN, namun, tarikhnya belum diputuskan",wujud konvensyen harap tarikh putus,Negative
Kami mendapati terdapat sejumlah besar pekerja dengan diploma dan ke atas tetapi bekerja dalam jawatan perkeranian.,diploma jawat kerani,Positive
"Ketika itu, dia masih belum bekerja, masih belajar. ",ajar,Positive
"Apa tujuan sebenar pembangkang, setakat nak jatuhkan kerajaan Najib?",tuju bangkang takat jatuh raja,Negative
Bagaimana pula peluang Pas dengan undi Melayu?,pas undi melayu,Negative
"Untuk laksanakan 3S, kos diperlukan adalah 4 kali ganda daripada kos asal, iaitu dalam anggaran kasar RM1 juta atau lebih",laksana ganda anggar kasar rm,Negative
"Jika anda tidak percaya, tanya ibu bapa di Pulau Pinang dan Selangor bagaimana kerajaan negeri beroperasi apabila ia melibatkan sekolah-sekolah.",percaya bapa pulau pinang selangor raja libat sekolah,Negative
" Tetapi, ia perlu didasari dengan semangat demokrasi seperti kebebasan pelajar untuk memilih.",semangat demokrasi bebas ajar pilih,Positive
"Kau nak tahu dua tiga hari lagi kamu tengok, celaka sungguh binatang ni",tengok celaka sungguh binatang,Negative
"Sebaik sahaja usul itu diluluskan di Dewan Rakyat dan mendapat persetujuan Yang di-Pertuan Agong untuk diwartakan, ia akan menjadi usul dan tidak perlu dibawa ke Dewan Negara",usul lulus tuju di-pertuan agong warta usul bawa,Positive
"Kami mempunyai kewajipan untuk mencari semua yang dikehendaki atau (sesiapa sahaja) dalam senarai itu, termasuk dalam notis merah Interpol. ",kewajipan cari senarai masuk merah interpol,Positive
"Mana-mana dana yang tidak mencapai skor minimum penilaian tahunan, akan digantung dan tidak boleh ditawarkan dalam tempoh berkenaan.”",capai skor minimum gantung tawar,Negative
"Ada kemungkinan besar yang 'makan dedak' dan wujud tali barut Tun Mahathir Mohamad (Pengerusi Bersatu) dalam ROS dan jika ada, siasat segera individu ini",makan dedak wujud tali barut mahathir mohamad ros siasat individu,Negative
MAIPs mengecam aktiviti Perlis Hope membantu golongan miskin,maips kecam lis hope bantu golong miskin,Negative
"Ini tidak masuk akal, dengan pemilik berbeza, sistem berbeza dan tentunya tiada integrasi",masuk akal milik berbeza berbeza integrasi,Negative
Akta ini juga sudah disemak jawatankuasa dan pesuruhjaya penyemakan undang-undang melalui peruntukan mengikut Akta Penyemakan Undang-Undang 1968 pada 1969,akta semak pesuruhjaya sema undang akta sema undang,Negative
Kami merancang membangunkan kemudahan perkilangan yang baharu di kawasan itu yang dijangkakan dapat mengukuhkan kecekapan syarikat dalam menyediakan produk berkualiti kepada pelanggan,rancang bangun kilang jangka kecekapan sedia alit langgan,Positive
